time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2022-01-02T04:00:00.025000,0.0,0.0
2022-01-02T04:00:00.075000,0.05,0.0005027416016689591
2022-01-02T04:00:00.125000,0.1,0.0036345342776129886
2022-01-02T04:00:00.175000,0.15,0.010198349596466729
2022-01-02T04:00:00.225000,0.2,0.028213508538335538
2022-01-02T04:00:00.275000,0.25,0.029769875003302484
2022-01-02T04:00:00.325000,0.3,0.027927240950667266
2022-01-02T04:00:00.375000,0.35,0.03989195546092227
2022-01-02T04:00:00.425000,0.4,0.05547515629827871
2022-01-02T04:00:00.475000,0.45,0.12009067734202757
2022-01-02T04:00:00.525000,0.5,0.13634534034165322
2022-01-02T04:00:00.575000,0.55,0.15460326516584216
2022-01-02T04:00:00.625000,0.6,0.22180550336293212
2022-01-02T04:00:00.675000,0.65,0.24420890957571117
2022-01-02T04:00:00.725000,0.7,0.28792767525061336
2022-01-02T04:00:00.775000,0.75,0.25648642382456466
2022-01-02T04:00:00.825000,0.8,0.2307933313914105
2022-01-02T04:00:00.875000,0.85,0.2509372046088511
2022-01-02T04:00:00.925000,0.9,0.39266159178737403
2022-01-02T04:00:00.975000,0.95,0.5735892984967178
2022-01-02T04:00:01.025000,1.0,0.30933845313338104
2022-01-02T04:00:01.075000,1.05,0.36635229877704456
2022-01-02T04:00:01.125000,1.1,0.63066528778772
2022-01-02T04:00:01.175000,1.15,0.6035852508270934
2022-01-02T04:00:01.225000,1.2,0.9237052335796433
2022-01-02T04:00:01.275000,1.25,0.8473665611341928
2022-01-02T04:00:01.325000,1.3,0.6845161741884679
2022-01-02T04:00:01.375000,1.35,0.9085627294992904
2022-01-02T04:00:01.425000,1.4,0.9734443486749744
2022-01-02T04:00:01.475000,1.45,1.1966199413053689
2022-01-02T04:00:01.525000,1.5,1.087602733754571
2022-01-02T04:00:01.575000,1.55,1.0560637649255165
2022-01-02T04:00:01.625000,1.6,1.496229399857639
2022-01-02T04:00:01.675000,1.65,1.6431453490920669
2022-01-02T04:00:01.725000,1.7,1.815879651694437
2022-01-02T04:00:01.775000,1.75,1.5916825668026346
2022-01-02T04:00:01.825000,1.8,1.1160949793656494
2022-01-02T04:00:01.875000,1.85,1.6680893155735643
2022-01-02T04:00:01.925000,1.9,2.1583760081561616
2022-01-02T04:00:01.975000,1.95,1.708617465138058
2022-01-02T04:00:02.025000,2.0,1.6831983412200089
2022-01-02T04:00:02.075000,2.05,1.696502651463105
2022-01-02T04:00:02.125000,2.1,1.5453039535598898
2022-01-02T04:00:02.175000,2.15,2.9661872703465204
2022-01-02T04:00:02.225000,2.2,3.630789291724269
2022-01-02T04:00:02.275000,2.25,1.9285687906572317
2022-01-02T04:00:02.325000,2.3,1.5624194573409764
2022-01-02T04:00:02.375000,2.35,2.786985261481373
2022-01-02T04:00:02.425000,2.4,3.2465147188513055
2022-01-02T04:00:02.475000,2.45,3.280408729526206
2022-01-02T04:00:02.525000,2.5,3.59390386650533
2022-01-02T04:00:02.575000,2.55,3.2197695546239053
